,URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,WHOIS_COUNTRY,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
290,B0_2026,35,9,Utf-8,Uk,4,3,2,420,4,4,244,420,4,0.0,0
291,B0_2067,35,7,Utf-8,Us,3,3,1,366,3,4,244,366,3,0.0,0
292,B0_2087,35,9,Utf-8,Us,4,3,2,432,4,6,372,432,4,0.0,0
293,B0_2144,35,10,Utf-8,Us,10,9,4,756,10,12,861,756,10,0.0,0
294,B0_2156,35,7,Utf-8,Ca,8,6,6,696,8,5,306,696,8,0.0,0
295,B0_2270,35,9,Utf-8,Not_available,4,4,2,432,4,6,372,432,4,0.0,0
296,B0_2295,35,8,Utf-8,Us,21,12,12,1446,21,24,1788,1446,21,0.0,0
297,B0_2319,35,7,Iso-8859-1,Gb,5,4,3,474,5,6,364,474,5,0.0,0
298,B0_308,35,6,Us-ascii,Us,23,8,5,3087,29,27,19078,3535,29,6.0,0
299,B0_337,35,7,Utf-8,Us,45,3,7,3507,49,46,42286,3857,49,4.0,0
300,B0_385,35,8,Utf-8,Us,37,0,3,3263,43,42,52720,3697,43,6.0,0
301,B0_461,35,9,Utf-8,Not_available,12,2,6,1258,16,17,1862,1542,16,4.0,0
302,B0_573,35,9,Iso-8859-1,Us,44,40,6,6945,56,51,26115,7849,56,12.0,0
303,B0_717,35,7,Utf-8,Us,41,6,4,4769,45,42,69898,5119,45,4.0,0
304,B0_739,35,8,Iso-8859-1,At,32,5,8,2965,36,39,37146,3279,36,4.0,0
305,B0_807,35,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
306,B0_82,35,8,Utf-8,Us,27,1,5,2771,31,33,36261,3051,31,4.0,0
307,B0_9,35,7,Iso-8859-1,Not_available,16,9,8,1275,18,23,2306,1423,18,2.0,0
308,B0_965,35,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
309,B0_971,35,8,Iso-8859-1,At,0,0,0,0,0,0,0,0,0,0.0,0
310,M0_121,36,10,Utf-8,Not_available,208,18,9,20074,228,216,270752,21646,228,20.0,1
311,M0_129,36,11,Utf-8,Not_available,7,1,5,466,11,10,822,760,11,4.0,1
312,M0_131,36,11,Utf-8,Not_available,17,1,7,1770,23,17,2579,2210,23,6.0,1
313,M0_133,36,9,Utf-8,Not_available,11,1,4,1266,15,12,966,1554,15,4.0,1
314,M0_134,36,11,Utf-8,Not_available,21,1,5,2359,29,23,3542,2951,29,8.0,1
315,M0_157,36,11,Utf-8,Not_available,19,1,5,2227,27,23,3612,2819,27,8.0,1
316,M0_169,36,8,Iso-8859-1,Ru,6,0,4,372,8,10,703,520,8,2.0,1
317,B0_1042,36,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
318,B0_1049,36,8,Us-ascii,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
319,B0_1277,36,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
320,B0_1306,36,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
321,B0_1359,36,7,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
322,B0_1363,36,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
323,B0_197,36,8,Iso-8859-1,Cn,18,2,8,1432,20,27,2113,1572,20,2.0,0
324,B0_200,36,8,Utf-8,Jp,14,10,6,1096,16,19,1294,1246,16,2.0,0
325,B0_2101,36,7,Utf-8,Us,3,3,1,366,3,4,244,366,3,0.0,0
326,B0_2250,36,8,Iso-8859-1,Not_available,2,2,1,276,2,3,184,276,2,0.0,0
327,B0_2260,36,8,Utf-8,Us,5,3,3,498,5,7,438,498,5,0.0,0
328,B0_2290,36,8,Iso-8859-1,Us,5,3,2,474,5,5,306,474,5,0.0,0
329,B0_290,36,8,Us-ascii,Not_available,18,2,6,1706,22,19,2165,1994,22,4.0,0
330,B0_305,36,7,Utf-8,Us,61,7,6,6100,65,79,123896,6388,65,4.0,0
331,B0_366,36,8,Utf-8,Us,85,73,9,7506,91,96,107416,7962,91,6.0,0
332,B0_444,36,7,Us-ascii,Not_available,8,0,2,784,10,11,16959,958,10,2.0,0
333,B0_445,36,8,Utf-8,Not_available,22,8,4,2680,28,19,7746,3172,28,6.0,0
334,B0_474,36,6,Iso-8859-1,Not_available,3,0,1,466,5,6,668,640,5,2.0,0
335,B0_487,36,7,Iso-8859-1,Us,14,7,5,1060,16,18,5214,1234,16,2.0,0
336,B0_60,36,7,Iso-8859-1,Us,12,0,4,1331,16,13,4860,1631,16,4.0,0
337,B0_69,36,7,Iso-8859-1,Not_available,7,0,2,730,9,11,1284,870,9,2.0,0
338,B0_701,36,7,Utf-8,Us,17,0,4,2319,21,21,14373,2615,21,4.0,0
339,B0_809,36,8,Iso-8859-1,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
340,B0_952,36,8,Utf-8,Uk,0,0,0,0,0,0,0,0,0,0.0,0
341,B0_990,36,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
342,M0_101,37,10,Utf-8,Cz,49,0,1,3505,51,53,66214,3657,51,2.0,1
343,M0_115,37,9,Windows-1251,Us,2,0,2,128,4,5,407,276,4,2.0,1
344,M0_16,37,9,Iso-8859-1,Cn,1,0,1,66,3,4,404,206,3,2.0,1
345,M0_176,37,11,Iso-8859-1,Not_available,44,2,10,5009,50,50,40316,5511,50,6.0,1
346,M0_179,37,10,Iso-8859-1,Cn,12,0,2,1961,16,14,2991,2245,16,4.0,1
347,M0_60,37,9,Iso-8859-1,Not_available,19,0,6,1525,21,13,1363,1667,21,2.0,1
348,B0_1008,37,7,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
349,B0_1167,37,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
350,B0_1196,37,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
351,B0_1204,37,9,Iso-8859-1,At,0,0,0,0,0,0,0,0,0,0.0,0
352,B0_1219,37,10,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
353,B0_1316,37,8,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
354,B0_1398,37,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
355,B0_1402,37,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
356,B0_2056,37,9,Utf-8,Us,23,5,8,1674,23,11,696,1674,23,0.0,0
357,B0_2093,37,9,Utf-8,Uk,11,10,7,834,11,14,882,834,11,0.0,0
358,B0_2116,37,7,Iso-8859-1,Us,6,5,2,540,6,8,535,540,6,0.0,0
359,B0_2143,37,8,Iso-8859-1,Us,4,2,2,408,4,5,328,408,4,0.0,0
360,B0_2230,37,8,Utf-8,Us,8,5,5,648,8,11,739,648,8,0.0,0
361,B0_2277,37,8,Iso-8859-1,Not_available,6,4,3,540,6,6,474,540,6,0.0,0
362,B0_361,37,7,Utf-8,Us,4,0,3,268,6,6,557,444,6,2.0,0
363,B0_386,37,9,Iso-8859-1,Not_available,31,7,12,2531,37,35,14050,3005,37,6.0,0
364,B0_450,37,7,Utf-8,Us,27,23,1,3355,33,35,31623,3781,33,6.0,0
365,B0_457,37,8,Utf-8,Us,44,0,4,3767,48,48,129181,4079,48,4.0,0
366,B0_476,37,8,Iso-8859-1,Us,16,1,6,1607,22,18,1690,2055,22,6.0,0
367,B0_59,37,9,Utf-8,Ph,15,6,7,1283,17,15,2201,1425,17,2.0,0
368,B0_593,37,9,Iso-8859-1,Us,21,0,4,1643,23,31,21144,1797,23,2.0,0
369,B0_646,37,8,Utf-8,Us,68,6,7,5207,70,88,247488,5345,70,2.0,0
370,B0_677,37,9,Utf-8,Us,18,5,10,2248,26,28,3605,2890,26,8.0,0
371,B0_777,37,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
372,B0_946,37,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
373,B0_947,37,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
374,M0_120,38,10,Iso-8859-1,Ca,14,4,6,888,14,5,316,888,14,0.0,1
375,M0_151,38,11,Utf-8,Not_available,22,1,5,2813,30,27,3916,3409,30,8.0,1
376,M0_42,38,9,Iso-8859-1,Us,15,0,2,2342,21,15,7249,2806,21,6.0,1
377,M0_43,38,9,Iso-8859-1,Us,19,1,3,2594,25,25,7997,3058,25,6.0,1
378,M0_90,38,10,Iso-8859-1,Not_available,7,0,2,734,9,9,1097,880,9,2.0,1
379,B0_1019,38,9,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
380,B0_1030,38,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
381,B0_109,38,8,Iso-8859-1,Not_available,18,0,1,1458,20,20,19623,1616,20,2.0,0
382,B0_1100,38,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
383,B0_1224,38,8,Utf-8,Uk,0,0,0,0,0,0,0,0,0,0.0,0
384,B0_127,38,9,Utf-8,Us,19,0,3,1851,23,23,15551,2143,23,4.0,0
385,B0_1289,38,10,Utf-8,Uk,0,0,0,0,0,0,0,0,0,0.0,0
386,B0_1329,38,9,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
387,B0_1349,38,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
388,B0_1365,38,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
389,B0_1387,38,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
390,B0_1403,38,7,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
391,B0_1404,38,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
392,B0_184,38,8,Iso-8859-1,Us,39,25,11,5509,47,45,25776,6115,47,8.0,0
393,B0_2011,38,7,Iso-8859-1,Not_available,7,7,3,618,7,9,562,618,7,0.0,0
394,B0_2118,38,8,Utf-8,Us,13,13,9,1002,13,16,1012,1002,13,0.0,0
395,B0_2138,38,7,Utf-8,Us,4,3,2,432,4,4,244,432,4,0.0,0
396,B0_2213,38,6,Us-ascii,Not_available,6,6,3,540,6,8,539,540,6,0.0,0
397,B0_2274,38,8,Utf-8,Us,3,2,2,330,3,5,306,330,3,0.0,0
398,B0_246,38,7,Utf-8,Au,8,0,3,786,12,9,968,1106,12,4.0,0
399,B0_295,38,9,Utf-8,Us,46,17,7,5306,54,42,39325,5906,54,8.0,0
400,B0_34,38,8,Iso-8859-1,Not_available,35,8,14,3072,41,31,9718,3506,41,6.0,0
401,B0_360,38,8,Us-ascii,Us,23,7,7,1967,29,24,6542,2417,29,6.0,0
402,B0_37,38,7,Us-ascii,Au,13,7,7,1068,15,13,1006,1216,15,2.0,0
403,B0_41,38,6,Utf-8,Be,23,5,9,2823,27,21,15940,3153,27,4.0,0
404,B0_428,38,6,Utf-8,Us,58,40,3,8165,66,77,54909,8787,66,8.0,0
405,B0_441,38,8,Utf-8,Us,23,12,8,3099,27,28,7395,3439,27,4.0,0
406,B0_464,38,10,Utf-8,No,16,0,5,1927,20,20,8052,2219,20,4.0,0
407,B0_496,38,8,Utf-8,Us,16,0,3,1879,22,20,8768,2307,22,6.0,0
408,B0_536,38,9,Utf-8,Us,35,30,2,4047,41,53,54041,4497,41,6.0,0
409,B0_624,38,7,Iso-8859-1,Us,20,0,3,1578,24,24,20606,1890,24,4.0,0
410,B0_721,38,7,Utf-8,Us,42,20,4,4268,50,40,40666,4998,50,8.0,0
411,B0_737,38,9,Utf-8,Not_available,288,279,10,20749,294,431,1058608,21187,294,6.0,0
412,B0_813,38,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
413,B0_90,38,7,Utf-8,Us,44,0,4,5064,50,42,35677,5586,50,6.0,0
414,B0_914,38,9,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
415,B0_918,38,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
416,B0_927,38,9,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
417,M0_141,39,13,Utf-8,Not_available,4,0,4,264,4,6,388,264,4,0.0,1
418,M0_144,39,11,Utf-8,Not_available,11,1,4,1266,15,12,960,1548,15,4.0,1
419,M0_145,39,11,Utf-8,Not_available,26,5,8,2329,32,25,4850,2759,32,6.0,1
420,M0_150,39,11,Utf-8,Not_available,20,0,6,2328,26,26,3285,2772,26,6.0,1
421,M0_44,39,9,Iso-8859-1,Us,20,0,2,2976,26,23,7783,3440,26,6.0,1
422,M0_91,39,10,Iso-8859-1,Not_available,8,0,1,809,12,11,1321,1101,12,4.0,1
423,B0_1009,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
424,B0_1050,39,7,Utf-8,Au,0,0,0,0,0,0,0,0,0,0.0,0
425,B0_1061,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
426,B0_1065,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
427,B0_1079,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
428,B0_1084,39,9,Utf-8,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
429,B0_1099,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
430,B0_1108,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
431,B0_1161,39,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
432,B0_1174,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
433,B0_1176,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
434,B0_1178,39,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
435,B0_1198,39,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
436,B0_1210,39,8,Utf-8,Tr,0,0,0,0,0,0,0,0,0,0.0,0
437,B0_1234,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
438,B0_125,39,6,Utf-8,Us,30,26,1,3521,36,37,33021,3947,36,6.0,0
439,B0_1252,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
440,B0_1279,39,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
441,B0_1285,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
442,B0_1300,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
443,B0_1338,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
444,B0_1344,39,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
445,B0_138,39,8,Utf-8,Us,61,52,4,7271,71,68,60586,8017,71,10.0,0
446,B0_1380,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
447,B0_1384,39,10,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
448,B0_155,39,8,Utf-8,Fr,8,0,2,1059,12,11,1506,1361,12,4.0,0
449,B0_19,39,8,Utf-8,Us,16,7,3,2241,22,20,6701,2683,22,6.0,0
450,B0_195,39,8,Utf-8,Us,64,48,8,6413,72,68,58285,7005,72,8.0,0
451,B0_2004,39,8,Utf-8,Us,2,2,1,276,2,4,244,276,2,0.0,0
452,B0_2052,39,8,Utf-8,Us,16,6,4,1224,16,4,244,1224,16,0.0,0
453,B0_2079,39,8,Utf-8,Us,34,24,7,5528,34,22,7472,5528,34,0.0,0
454,B0_2103,39,8,Utf-8,Us,6,2,3,492,6,3,184,492,6,0.0,0
455,B0_2121,39,8,Utf-8,Us,5,3,2,498,5,7,438,498,5,0.0,0
456,B0_2136,39,8,Utf-8,Not_available,22,9,9,1560,22,18,1334,1560,22,0.0,0
457,B0_2160,39,8,Utf-8,Us,22,9,10,1524,22,11,702,1524,22,0.0,0
458,B0_2179,39,8,Utf-8,Us,2,2,1,276,2,4,246,276,2,0.0,0
459,B0_2193,39,9,Utf-8,Us,3,3,1,366,3,5,306,366,3,0.0,0
460,B0_2202,39,8,Utf-8,Us,18,7,11,1308,18,16,1030,1308,18,0.0,0
461,B0_2241,39,9,Iso-8859-1,Not_available,10,4,5,816,10,7,436,816,10,0.0,0
462,B0_2244,39,9,Iso-8859-1,Us,8,4,6,684,8,12,762,684,8,0.0,0
463,B0_2269,39,9,Utf-8,Not_available,4,3,2,420,4,5,310,420,4,0.0,0
464,B0_2284,39,10,Utf-8,Not_available,3,3,1,366,3,4,244,366,3,0.0,0
465,B0_2285,39,10,Utf-8,Us,12,5,5,912,12,4,244,912,12,0.0,0
466,B0_2291,39,7,Iso-8859-1,Ca,11,5,5,894,11,10,634,894,11,0.0,0
467,B0_2297,39,9,Utf-8,Us,9,8,6,714,9,11,788,714,9,0.0,0
468,B0_233,39,9,Utf-8,Us,25,11,4,3771,33,32,11756,4385,33,8.0,0
469,B0_253,39,8,Iso-8859-1,At,10,2,7,927,14,20,2926,1241,14,4.0,0
470,B0_273,39,8,Utf-8,Us,23,6,10,2679,29,26,7080,3121,29,6.0,0
471,B0_345,39,7,Iso-8859-1,Not_available,28,6,13,2721,30,29,15626,2879,30,2.0,0
472,B0_356,39,9,Utf-8,Us,63,54,5,6884,73,70,57005,7630,73,10.0,0
473,B0_389,39,7,Utf-8,Ky,9,0,1,865,11,12,19264,1045,11,2.0,0
474,B0_392,39,9,Iso-8859-1,Us,40,11,12,6028,46,46,20061,6502,46,6.0,0
475,B0_393,39,8,Utf-8,Us,44,36,6,5129,52,68,59068,5721,52,8.0,0
476,B0_471,39,9,Iso-8859-1,Us,38,33,1,6419,48,47,29141,7171,48,10.0,0
477,B0_480,39,6,Iso-8859-1,Lv,71,67,7,7582,79,73,82537,8282,79,8.0,0
478,B0_50,39,8,Us-ascii,Tr,12,6,9,1063,14,16,1287,1213,14,2.0,0
479,B0_523,39,8,Iso-8859-1,Us,24,13,8,2750,30,32,9290,3190,30,6.0,0
480,B0_606,39,9,Us-ascii,Us,23,17,8,1970,27,26,2183,2262,27,4.0,0
481,B0_61,39,8,Utf-8,Us,69,60,5,8450,81,80,68036,9350,81,12.0,0
482,B0_631,39,9,Utf-8,Us,64,56,5,7076,74,71,63630,7822,74,10.0,0
483,B0_632,39,10,Utf-8,Us,13,3,7,1313,17,18,1612,1605,17,4.0,0
484,B0_644,39,9,Utf-8,Us,62,50,5,6269,70,65,54988,6861,70,8.0,0
485,B0_666,39,10,Utf-8,Us,57,49,5,5951,65,64,56509,6543,65,8.0,0
486,B0_710,39,9,Iso-8859-1,Us,35,0,2,3234,38,38,129083,3384,38,2.0,0
487,B0_742,39,8,Utf-8,Us,60,51,4,6503,69,66,58109,7095,69,8.0,0
488,B0_795,39,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
489,B0_820,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
490,B0_830,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
491,B0_839,39,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
492,B0_841,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
493,B0_85,39,8,Utf-8,Us,66,56,7,8252,78,77,61807,9152,78,12.0,0
494,B0_854,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
495,B0_865,39,9,Utf-8,Pa,0,0,0,0,0,0,0,0,0,0.0,0
496,B0_870,39,8,Utf-8,Pa,0,0,0,0,0,0,0,0,0,0.0,0
497,B0_876,39,7,Utf-8,De,0,0,0,0,0,0,0,0,0,0.0,0
498,B0_900,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
499,B0_902,39,8,Utf-8,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
500,B0_915,39,9,Iso-8859-1,Ca,0,0,0,0,0,0,0,0,0,0.0,0
501,B0_948,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
502,B0_988,39,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
503,M0_126,40,13,Utf-8,Not_available,12,1,5,1340,16,12,964,1622,16,4.0,1
504,M0_139,40,13,Utf-8,Not_available,12,1,4,1325,18,14,2091,1749,18,6.0,1
505,M0_143,40,13,Utf-8,Not_available,11,1,4,1266,15,12,960,1548,15,4.0,1
506,M0_158,40,11,Utf-8,Not_available,21,1,5,2383,29,25,3786,2983,29,8.0,1
507,M0_160,40,11,Utf-8,Not_available,19,1,5,2243,25,22,3021,2691,25,6.0,1
508,M0_39,40,10,Utf-8,Not_available,11,0,2,1285,17,18,2462,1741,17,6.0,1
509,M0_45,40,9,Iso-8859-1,Us,19,0,2,2610,25,22,7715,3074,25,6.0,1
510,B0_1011,40,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
511,B0_1017,40,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
512,B0_1033,40,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
513,B0_1075,40,10,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
514,B0_1116,40,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
515,B0_1142,40,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
516,B0_116,40,9,Utf-8,Us,8,0,2,1016,12,14,1612,1324,12,4.0,0
517,B0_1195,40,7,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
518,B0_1228,40,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
519,B0_1244,40,8,Iso-8859-1,Es,0,0,0,0,0,0,0,0,0,0.0,0
520,B0_1311,40,9,Iso-8859-1,Au,0,0,0,0,0,0,0,0,0,0.0,0
521,B0_1383,40,12,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
522,B0_1415,40,11,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
523,B0_2010,40,10,Utf-8,Us,7,4,3,630,7,5,310,630,7,0.0,0
524,B0_2034,40,7,Utf-8,Us,3,3,1,366,3,5,306,366,3,0.0,0
525,B0_2068,40,9,Utf-8,Us,14,12,5,1092,14,4,244,1092,14,0.0,0
526,B0_2148,40,9,Us-ascii,Us,3,3,1,366,3,5,306,366,3,0.0,0
527,B0_222,40,8,Utf-8,Us,156,17,12,23383,162,206,295213,23877,162,6.0,0
528,B0_2275,40,9,Iso-8859-1,Us,5,3,3,486,5,4,244,486,5,0.0,0
529,B0_2323,40,6,Utf-8,Not_available,12,4,8,924,12,10,642,924,12,0.0,0
530,B0_251,40,7,Iso-8859-1,Au,24,6,4,1784,26,27,23886,1950,26,2.0,0
531,B0_309,40,8,Iso-8859-1,Us,17,3,9,1394,19,20,12358,1546,19,2.0,0
532,B0_349,40,9,Utf-8,Not_available,16,11,2,2272,20,26,16035,2576,20,4.0,0
533,B0_353,40,9,Utf-8,Us,8,1,3,1088,14,13,2036,1524,14,6.0,0
534,B0_376,40,9,Iso-8859-1,Us,21,0,2,2021,23,25,26799,2165,23,2.0,0
535,B0_391,40,6,Us-ascii,Us,22,0,2,1724,24,26,38477,1886,24,2.0,0
536,B0_409,40,7,Utf-8,Ca,76,9,7,8268,84,88,117625,8898,84,8.0,0
537,B0_416,40,6,Iso-8859-1,Not_available,15,10,4,1166,19,19,1626,1538,19,4.0,0
538,B0_442,40,9,Utf-8,Us,26,1,3,4229,30,36,32381,4517,30,4.0,0
539,B0_520,40,9,Utf-8,Us,56,4,8,4551,60,59,67881,4843,60,4.0,0
540,B0_552,40,8,Iso-8859-1,Not_available,8,4,1,1325,12,12,2833,1637,12,4.0,0
541,B0_562,40,9,Utf-8,Us,24,0,9,2112,28,29,16019,2404,28,4.0,0
542,B0_590,40,7,Iso-8859-1,Us,48,41,9,6057,56,54,15706,6657,56,8.0,0
543,B0_685,40,8,Iso-8859-1,Us,16,5,5,1615,20,23,25358,1931,20,4.0,0
544,B0_697,40,8,Utf-8,Us,20,5,9,2948,24,27,5557,3248,24,4.0,0
545,B0_703,40,6,Iso-8859-1,Us,14,1,3,1981,20,19,6759,2497,20,6.0,0
546,B0_765,40,7,Utf-8,Us,38,1,3,2995,44,37,41717,3531,44,6.0,0
547,B0_803,40,9,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
548,B0_863,40,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
549,B0_976,40,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
550,B0_980,40,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
551,M0_116,41,13,Utf-8,Not_available,9,0,3,1142,13,12,1991,1430,13,4.0,1
552,M0_156,41,11,Utf-8,Not_available,15,1,5,1653,21,19,2798,2103,21,6.0,1
553,M0_52,41,10,Iso-8859-1,Us,24,0,2,4034,30,26,12486,4498,30,6.0,1
554,M0_57,41,11,Utf-8,Br,22,0,3,2316,26,28,31378,2640,26,4.0,1
555,M0_92,41,10,Iso-8859-1,Not_available,7,0,1,737,11,10,1162,1047,11,4.0,1
556,B0_107,41,6,Iso-8859-1,Not_available,8,0,2,1089,14,13,1977,1601,14,6.0,0
557,B0_1283,41,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
558,B0_1296,41,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
559,B0_1373,41,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
560,B0_1378,41,8,Us-ascii,Gb,0,0,0,0,0,0,0,0,0,0.0,0
561,B0_1425,41,10,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
562,B0_192,41,9,Utf-8,Us,0,0,0,0,0,2,124,0,0,0.0,0
563,B0_2019,41,9,Utf-8,Us,3,3,1,366,3,4,244,366,3,0.0,0
564,B0_2135,41,9,Iso-8859-1,Us,7,5,5,630,7,7,442,630,7,0.0,0
565,B0_2299,41,9,Utf-8,Us,5,3,3,576,6,8,522,576,6,0.0,0
566,B0_238,41,7,Iso-8859-1,Us,20,0,2,1895,22,24,13792,2055,22,2.0,0
567,B0_26,41,8,Utf-8,Pa,8,0,1,1078,12,12,1532,1390,12,4.0,0
568,B0_275,41,9,Utf-8,Us,34,27,3,4891,42,37,37001,5499,42,8.0,0
569,B0_30,41,7,Iso-8859-1,Us,18,0,3,1868,22,23,18348,2202,22,4.0,0
570,B0_364,41,8,Us-ascii,Us,10,3,5,1202,14,16,1335,1500,14,4.0,0
571,B0_373,41,8,Utf-8,Jp,34,11,4,3699,40,38,27522,4153,40,6.0,0
572,B0_390,41,8,Utf-8,Us,26,0,8,2657,30,35,34427,2991,30,4.0,0
573,B0_427,41,10,Iso-8859-1,Us,8,3,8,552,8,5,420,552,8,0.0,0
574,B0_434,41,8,Utf-8,Us,40,12,6,3079,44,53,38924,3359,44,4.0,0
575,B0_713,41,8,Iso-8859-1,Not_available,1,0,1,54,1,2,124,54,1,0.0,0
576,B0_731,41,10,Utf-8,Us,10,1,4,1198,16,16,2763,1616,16,6.0,0
577,B0_758,41,9,Iso-8859-1,Au,101,41,5,10813,110,101,142735,11423,110,8.0,0
578,B0_829,41,10,Utf-8,Gb,0,0,0,0,0,0,0,0,0,0.0,0
579,B0_855,41,9,Iso-8859-1,Au,0,0,0,0,0,0,0,0,0,0.0,0
580,B0_910,41,9,Iso-8859-1,Fr,0,0,0,0,0,0,0,0,0,0.0,0
581,M0_128,42,13,Utf-8,Not_available,7,1,5,466,11,10,822,760,11,4.0,1
